Food Name,Food Group,Food Sub Group,Per Serving ,Energy (kcal),Protein (g),Total Fat (g),Carbo (g)
"Salad, vegetable, tossed, without dressing",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Cup (138g),22.08,1.73,0.8,2.24
Sea moss,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (100g),246,22.8,1.58,36.8
Seaweed,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (144g),298.05,38.45,25.51,32.4
Stir-fried nai bai,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Plate-20cm (277g),268.69,5.26,0.45,4.71
"Sweet potato, boiled, without skin",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Whole (151g),158.55,2.49,0.04,36.66
"Sweet potato, dried",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Slice (4.44g),15.1,0.21,1.02,3.49
"Sweetcorn, canned, cream style",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (256g),185.39,4.35,0.41,46.34
Tomato puree,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (255g),104.22,4.34,0.24,25.5
"Vegetable juice, canned",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (243g),45.3,1.46,0.15,10.94
"Vegetable, dark green leafy, unspecified, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",1 portion (62.5g),13.75,1.36,0.15,2.44
"Vegetable, dark green non-leafy, unspecified, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",1 portion (50g),12.5,1.4,0.14,2.25
"Vegetable, pale green leafy, unspecified, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",1 portion (50g),8.54,0.65,0.04,1.59
"Vegetable, preserved, tang chye",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",Tablespoon (12g),5.51,0.42,0.52,0.88
"Vegetable, szechuan",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Whole (173g),50.03,3.81,0.05,7.61
"White fungus, soaked",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Scoop (24g),5.04,0.36,0.2,0.82
"Yam, boiled, drained",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",Piece (143.78g),166.78,2.14,0.47,39.68
"Zucchini, green skin, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Cup (155g),27.06,1.55,,2.95
Corn chowder,MISCELLANEOUS,Soups (manufactured),Cup (245g),149.45,2.99,1.25,24.01
"Soup, beef, dry mix, prepared",MISCELLANEOUS,Soups (manufactured),Cup (250g),45.41,2,1.49,6.5
"Soup, chicken noodle, dry mix",MISCELLANEOUS,Soups (manufactured),Packet (45g),158.86,5.4,0.25,30.65
"Soup, chicken noodle, dry mix, prepared",MISCELLANEOUS,Soups (manufactured),Cup (250g),46.01,2,1,9
"Soup, chicken noodle, instant prepared",MISCELLANEOUS,Soups (manufactured),1 portion (200g),40.15,2.2,9.96,5.6
"Soup, cream of asparagus, canned, prepared W/ water",MISCELLANEOUS,Soups (manufactured),Can (593g),209.76,5.57,8.91,26.09
"Soup, cream of chicken, canned",MISCELLANEOUS,Soups (manufactured),Cup (270g),177.46,5.13,6.89,19.17
"Soup, cream of chicken, canned, prepared",MISCELLANEOUS,Soups (manufactured),Cup (255g),134.08,4.59,13.64,13.52
"Soup, cream of mushroom, canned",MISCELLANEOUS,Soups (manufactured),Cup (248g),200.88,3.2,6.89,16.34
"Soup, cream of seafood, canned, prepared",MISCELLANEOUS,Soups (manufactured),Cup (255g),142.04,4.34,8.1,15.3
"Soup, cream of vegetable, canned",MISCELLANEOUS,Soups (manufactured),Cup (270g),159.39,3.51,6.63,18.09
"Soup, cream of vegetable, canned, prepared",MISCELLANEOUS,Soups (manufactured),Cup (255g),135.91,3.83,2.83,15.3
"Soup, cream type, dry mix, prepared",MISCELLANEOUS,Soups (manufactured),Cup (255g),102.39,3.57,2.4,13.52
"Soup, cream variety, instant, prepared",MISCELLANEOUS,Soups (manufactured),Sachet (200g),73.61,4,0,9
"Soup, french onion, dry mix, prepared",MISCELLANEOUS,Soups (manufactured),Cup (250g),16.13,1,11.96,3
"Soup, main meal, canned, heated",MISCELLANEOUS,Soups (manufactured),Cup (260g),215.63,6.24,3.64,21.06
"Soup, minestrone, home prepared",MISCELLANEOUS,Soups (manufactured),Cup (260g),121.18,8.58,0.25,13
"Soup, mixed vegetable, dry mix, prepared",MISCELLANEOUS,Soups (manufactured),Cup (250g),32.27,1,2.04,6.5
"Soup, peas and ham, canned, prepared",MISCELLANEOUS,Soups (manufactured),Cup (255g),111.53,7.65,0.81,15.3
"Soup, tomato, canned",MISCELLANEOUS,Soups (manufactured),Bowl-rice (11and 1/2 cm) (270g),143.4,2.7,1.02,29.16
"Soup, vegetable, canned, prepared",MISCELLANEOUS,Soups (manufactured),Cup (255g),56.68,2.55,0.6,9.44
"Soup, vegetable, home prepared",MISCELLANEOUS,Soups (manufactured),Cup (200g),68.9,4,5.2,9
"Soup, with crouton, instant prepared",MISCELLANEOUS,Soups (manufactured),1 portion (200g),98.95,1.6,0.77,11.4
Rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,180,3,0.3,39.8
Nasi tim,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,120,2.4,0.4,26
Rice tapai,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,99,1.7,0.3,22.4
Rice brown rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,149,2.8,0.4,32.5
Instant fried vermicelli,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,381,6.1,3.9,80.3
Corn rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,357,8.8,0.5,79.5
"Young yellow corn, boiled",CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,142,5,0.7,30.3
"Yellow corn kernels, boiled",CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,154,3.8,3.5,28.4
Ketupat sticky rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,212,4,4.6,38.6
"Black sticky rice, cooked",CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,181,4,1.2,37.3
Black sticky rice tapai,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,166,3.8,1,34.4
"White sticky rice, cooked",CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,163,3,0.4,35.7
White sticky rice tapai,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,172,3,0.5,37.5
Wet noodles,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,88,0.6,3.3,14
Dry noodles,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,339,10,1.7,6.3
Misoa,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,345,8.5,2.2,78
White bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,100g,248,8,1.2,50
Amparan tatak,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,191,1.3,5.5,34
"Steamed Apang, cake",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,202,3,0.3,46.7
"Apem, cake",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,148,2,0.5,33.9
Biscuit,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),100g,458,6.9,14.4,75.1
"Bakpia, cake",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,272,8.7,6.7,44.1
Bakwan,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,280,8.2,10.2,39
Bantal,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,190,3.3,0.3,43.5
Baruasa,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,417,6.5,8.2,79.3
Batar daan,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,107,2.2,2.2,19.6
Bika Ambon,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,199,2.1,1.5,44.4
Bingka,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,273,5.3,10.6,39.1
Bobengka,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,225,5.3,2.6,45.2
Peca cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,197,3.3,4.6,35.6
Brem,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,249,3.4,0.4,58
Tinotuan porridge (Manado),CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,156,2.3,0.2,15.6
Cake tape,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,323,4.9,11.5,50.1
Cangkuning,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,204,2.8,7.5,31.4
Bali dodol,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,298,3.7,2.1,65.9
Galamai dodol,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,348,0.4,3.8,76.1
Kedondong dodol,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,331,1.9,7.6,63.8
Manado dodol,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,373,4.3,16.5,51.9
Rice chips,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,403,10.6,2.2,71.7
Gemblong,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,274,1.7,5.4,55.5
Fried gendar,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,407,6.4,28.2,32
Fried peek,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,474,7.6,21.6,62.3
Corn gerontol,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,156,2.7,1.3,33.3
Titi corn,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,374,9.4,2.2,79.1
Japilus,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,500,1.2,25.1,67.3
Kakicak,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,296,3.4,15.1,36.7
Kambose,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,164,3,2.4,32.6
Kapusa,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,158,4.4,3.2,27.8
Keddo bodong,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,290,4.6,5.7,55.2
"Kelepon, cake",CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,215,3.7,3.7,41.8
Kereput,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,580,4.8,39.6,51.1
Ketoprak,BEVERAGES,Non-alcoholic beverages,100g,153,7.9,7.7,13
Ketupat kandangan,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,109,2.2,5.2,13.4
Koya,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,366,4.2,4.3,77.5
Koya mirasa,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,370,8,1,82.2
Koyabu,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,241,3.4,4.3,47.2
Ali cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,440,3.8,18.5,64.5
Bangen cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,442,3.3,14.7,74.2
Bracelet cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,448,5.8,16.1,70
Ginger cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,425,1.6,8.8,84.6
Coconut cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,591,5.6,42.1,47.5
Koa cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,340,4.8,0.4,79.3
Ku temu cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,214,3.5,0.2,49.6
Mud cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,291,3.6,11.1,44.1
Pelita cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,141,5.3,5.5,17.6
Putu cup cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,304,5.3,7,54.9
Puff cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,221,7.5,10.2,24.8
Timphan cake,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,247,2.9,4.2,49.5
Laksa/putu mayang,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,121,1.7,3.4,21.1
Lapis legit,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,389,6.6,15.7,55.5
Lupis sticky rice,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,164,1.8,2.1,34.5
Manan Samin,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,379,3.4,18.1,50.6
Indian Martabak,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,153,4.5,4.2,24.3
Egyptian Martabak,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,278,5.1,8.6,45
Masekat,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,369,2.1,7,74.1
Boiled Aceh noodles,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,113,3,3.2,18.1
Chicken noodles,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,102,6.2,3.9,10.5
Meatball noodles,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,114,5.3,3,16.4
Celon noodles,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,102,3,2.1,17.8
Wet dumpling noodles,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,105,5.9,4.9,9.4
Fat rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,192,3.8,8.8,24.4
Savory rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,190,4.7,7.5,26
Oil rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,207,3.5,5,37.1
Rice rames,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,155,10.3,4.2,19.1
Special Nopia,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,387,5.3,7.6,74.3
Onde-onde,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,336,4,9.8,57.9
Padamaran,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,171,3.9,8.9,18.8
Pastel,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,307,4.5,13.3,42.4
Pulut,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,216,2.6,3.1,44.4
Pundut nasi,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,104,1.9,4.1,15.1
Putri hijau,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,189,5.4,2.1,37.2
Putri selat,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,163,2.2,6.5,23.8
Putu sopa,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,215,3.3,4.1,41.1
Fried rice crackers,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,471,4.7,21.8,64.1
Roti boong,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,341,5.5,16.2,43.3
Savory bread,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,249,7.9,1.5,49.7
Sarimuka,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,166,2.3,2.8,32.9
Spaghetti,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',100g,139,7.4,2.1,22.6
Srikaya sticky rice,CEREAL AND CEREAL PRODUCTS,Grains and flours,100g,265,2.7,6.4,49.1
Sunduk Lawang,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,181,1.9,1.3,32.4
Shredded vegetables,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,347,0.5,0.9,84.2
Tipa-tipa,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,355,6.2,1.2,79.8
Wajit snacks,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,303,6.3,2.7,63.3
Widaran,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,424,1.3,10.7,80.7
Wingko babat,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,355,3.2,15.1,51.4
Yangko,CEREAL AND CEREAL PRODUCTS,"Cakes and pastries(eg cakes mixes,croissants)",100g,254,3,1.1,58.1
"Coconut Batatas, sweet potato, grilled",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",85g,110,1.4,1.1,23.4
"Coconut Batatas, sweet potato, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,92,1.2,0.3,21
"Rope Batatas, sweet potato, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,182,2.4,0.4,42.2
"Belitung, taro, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,145,1.2,0.4,34.2
"Bentul, taro, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,71,2.3,0.3,15.4
"Gadung, sweet potato, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,88,0.6,0.3,20.9
"Ganyong, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,100,0.8,0.2,23.8
Cassava/steamed cassava,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,153,1.2,0.3,36.4
"Suweg, taro, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,93,1.5,0.1,21.9
"Bogor taro, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,120,1.5,0.3,28.2
"Sweet potato, yellow, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,100,0.7,0.3,23.8
Sweet potato tinta/kemayung steamed,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,165,0.9,0.2,39.8
Salted coconut bagea,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,450,3.2,13.9,78.1
Sweet coconut bagea,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,452,1.3,13.8,80.6
Salted canary bagea,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,529,3.2,29.1,63.6
Sweet canary bagea,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,523,3.2,28.2,64.2
Bagea kw 1,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,416,6.5,9.4,76.3
Bagea kw 2,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,382,0.3,3.5,87.2
Smart Rice,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,350,2.7,1.1,82.3
Canary rice,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,364,3.4,0.7,86.3
Siger rice,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,344,1.1,0.2,28.3
Jackfruit seeds/Salak seeds,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,262,2.3,5.4,51.1
Sago porridge,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,167,0.2,4,33
Cassavastick,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,460,0.8,18.7,71.8
Cassava getuk chips,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,462,1.2,20.7,67.7
Gatot,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,347,1.3,0.7,83.8
Geblek,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,195,0.4,1.7,44.4
Fried getuk,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,360,1.3,6.4,74.3
Cassava getuk,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,204,0.5,1.4,47.4
Gurandil,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,218,0.5,2.5,48.5
Kabuto,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,250,2.6,2.5,35.4
Kapurung,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,41,2,0.3,7.8
Fried cassava kecimpring,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,464,1.2,18.6,73
Keremes,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,475,1.6,25.2,64.4
Gadung chips,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,446,2.8,14.5,76
Potato chips,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,448,2.7,18.8,67.1
Cassava chips,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,478,0.9,20.7,72
Spiced cassava chips,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,481,2.2,19.7,73.6
Sweet potato chips,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,486,0.2,23.9,67.6
Fried squid crackers,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,444,6.9,14.6,71.3
Fried kemplang crackers,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,504,5.6,28.1,57.1
Grilled kemplang crackers,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,356,9.7,1.1,76.9
Fried yellow noodle crackers,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,476,0.1,21.1,71.3
Fried shrimp crackers,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,477,4.7,20.5,68.5
Bangket cake,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,338,1.5,1.2,80.3
Cassava putu cake,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,217,1.2,0.5,53.2
Lanting getuk,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,422,0.9,10.8,80.4
Golosor noodles,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,71,0.2,0.8,15.9
Bendo noodles,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,353,0.3,0,88
Sago noodles,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,190,0.2,0.4,46.5
Sago ongol-ongol,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,111,0.3,2.7,21.2
Oyek,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,351,0.9,0.9,84.9
Papeda,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,61,0.2,0.1,14.9
Forno sago,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,291,0.5,4,63.4
Fat sago (Sagon cake),VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,452,2.8,14.8,76.8
Sweet sago,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,287,0.5,3.9,62.4
Rendang sago,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,364,0.1,0.2,90.5
Sinole sago,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,354,0.8,8.3,68.9
Kebumen taro serimping,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,478,2.5,21.2,69.2
Cassava tapai,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,169,1.4,0.3,40.2
Tiwul,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,353,2.4,1.1,83.4
Instant tiwul,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,395,3.2,8.5,76.5
Cilembu sweet potato,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",89.6g,186,1.9,0.2,44.3
Uli batatas,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems",100g,150,1.1,4,27.4
